Country,ISO_3,ISO_numeric,Region,Year,Population,Prevalence_100k_population,Prevalence_100k_population_low,Prevalence_100k_population_high,Prevalence,Prevalence_low,Prevalence_high,Prevalence_method,Mortality_100k_population,Mortality_100k_population_low,Mortality_100k_population_high,Deaths,Deaths_low,Deaths_high,HIV_mortality_100k_population,HIV_mortality_100k_population_low,HIV_mortality_100k_population_high,HIV_deaths,HIV_deaths_low,HIV_deaths_high,HIV_mortality_method,Incidence,Incidence_low,Incidence_high,Incidence_cases,Incidence_cases_low,Incidence_cases_high,Incidence_method,HIV_in_percent,HIV_in_percent_low,HIV_in_percent_high,HIV_incidence_100k_pupulation,HIV_incidence_100k_pupulation_low,HIV_incidence_100k_pupulation_high,HIV_incidence,HIV_incidence_low,HIV_incidence_high,Case_detection_rate,Case_detection_rate_low,Case_detection_rate_high
Afghanistan,AFG,4,EMR,2000,20595360,430.0,202.0,742.0,89000.0,42000.0,150000.0,predicted,68.0,48.0,83.0,14000.0,9900.0,17000.0,0.22,0.19,0.26,46.0,39.0,54.0,Indirect,190.0,175.0,204.0,39000.0,36000.0,42000.0,High income,0.18,0.16,0.2,0.34,0.31,0.36,70.0,64.0,75.0,18.0,17.0,20.0
Afghanistan,AFG,4,EMR,2001,21347782,414.0,200.0,704.0,88000.0,43000.0,150000.0,predicted,64.0,45.0,78.0,14000.0,9600.0,17000.0,0.22,0.18,0.26,47.0,39.0,55.0,Indirect,189.0,175.0,201.0,40000.0,37000.0,43000.0,High income,0.19,0.17,0.21,0.36,0.33,0.38,76.0,70.0,81.0,25.0,24.0,27.0
Afghanistan,AFG,4,EMR,2002,22202806,397.0,196.0,667.0,88000.0,44000.0,150000.0,predicted,59.0,42.0,72.0,13000.0,9300.0,16000.0,0.22,0.18,0.26,48.0,40.0,57.0,Indirect,189.0,176.0,200.0,42000.0,39000.0,44000.0,High income,0.2,0.18,0.22,0.38,0.35,0.4,84.0,78.0,89.0,33.0,31.0,35.0
Afghanistan,AFG,4,EMR,2003,23116142,377.0,192.0,622.0,87000.0,44000.0,140000.0,predicted,54.0,38.0,66.0,13000.0,8800.0,15000.0,0.21,0.18,0.25,49.0,41.0,58.0,Indirect,189.0,177.0,202.0,44000.0,41000.0,47000.0,High income,0.21,0.19,0.23,0.4,0.37,0.43,92.0,86.0,99.0,32.0,30.0,34.0
Afghanistan,AFG,4,EMR,2004,24018682,361.0,187.0,591.0,87000.0,45000.0,140000.0,predicted,50.0,35.0,60.0,12000.0,8400.0,15000.0,0.21,0.17,0.24,50.0,42.0,59.0,Indirect,189.0,176.0,204.0,45000.0,42000.0,49000.0,High income,0.22,0.2,0.25,0.42,0.39,0.46,100.0,94.0,110.0,41.0,38.0,43.0
Afghanistan,AFG,4,EMR,2005,24860855,351.0,183.0,571.0,87000.0,46000.0,140000.0,predicted,46.0,32.0,56.0,12000.0,8000.0,14000.0,0.21,0.18,0.25,52.0,44.0,61.0,Indirect,189.0,176.0,203.0,47000.0,44000.0,51000.0,High income,0.24,0.21,0.26,0.45,0.42,0.49,110.0,100.0,120.0,47.0,43.0,50.0
Afghanistan,AFG,4,EMR,2006,25631282,342.0,180.0,555.0,88000.0,46000.0,140000.0,predicted,44.0,30.0,53.0,11000.0,7800.0,14000.0,0.21,0.17,0.25,54.0,45.0,64.0,Indirect,189.0,176.0,201.0,48000.0,45000.0,51000.0,High income,0.25,0.23,0.28,0.48,0.44,0.51,120.0,110.0,130.0,53.0,50.0,56.0
Afghanistan,AFG,4,EMR,2007,26349243,334.0,176.0,542.0,88000.0,46000.0,140000.0,predicted,42.0,29.0,52.0,11000.0,7600.0,14000.0,0.22,0.18,0.26,57.0,47.0,68.0,Indirect,189.0,176.0,201.0,50000.0,47000.0,53000.0,High income,0.27,0.24,0.29,0.51,0.47,0.54,130.0,120.0,140.0,58.0,54.0,62.0
Afghanistan,AFG,4,EMR,2008,27032197,331.0,175.0,537.0,90000.0,47000.0,150000.0,predicted,41.0,28.0,52.0,11000.0,7600.0,14000.0,0.22,0.18,0.27,60.0,49.0,72.0,Indirect,189.0,177.0,203.0,51000.0,48000.0,55000.0,High income,0.28,0.26,0.31,0.53,0.5,0.57,140.0,130.0,160.0,55.0,52.0,59.0
Afghanistan,AFG,4,EMR,2009,27708187,329.0,173.0,533.0,91000.0,48000.0,150000.0,predicted,41.0,28.0,52.0,11000.0,7800.0,14000.0,0.23,0.18,0.28,63.0,50.0,77.0,Indirect,189.0,178.0,204.0,52000.0,49000.0,56000.0,High income,0.3,0.27,0.33,0.56,0.52,0.61,160.0,140.0,170.0,50.0,46.0,53.0
Afghanistan,AFG,4,EMR,2010,28397812,329.0,174.0,532.0,93000.0,49000.0,150000.0,predicted,41.0,28.0,52.0,12000.0,8000.0,15000.0,0.24,0.19,0.29,68.0,55.0,82.0,Indirect,189.0,176.0,205.0,54000.0,50000.0,58000.0,High income,0.31,0.27,0.34,0.58,0.53,0.64,170.0,150.0,180.0,52.0,48.0,56.0
Afghanistan,AFG,4,EMR,2011,29105480,332.0,175.0,538.0,97000.0,51000.0,160000.0,predicted,41.0,28.0,53.0,12000.0,8100.0,15000.0,0.25,0.2,0.3,72.0,58.0,87.0,Indirect,189.0,174.0,206.0,55000.0,51000.0,60000.0,High income,0.32,0.28,0.36,0.6,0.55,0.66,180.0,160.0,190.0,51.0,47.0,55.0
Afghanistan,AFG,4,EMR,2012,29824536,335.0,176.0,545.0,100000.0,52000.0,160000.0,predicted,42.0,28.0,53.0,12000.0,8200.0,16000.0,0.25,0.2,0.31,76.0,61.0,92.0,Indirect,189.0,171.0,209.0,56000.0,51000.0,62000.0,High income,0.33,0.28,0.38,0.62,0.56,0.69,190.0,170.0,210.0,51.0,46.0,56.0
Afghanistan,AFG,4,EMR,2013,30551674,340.0,178.0,554.0,100000.0,54000.0,170000.0,predicted,42.0,27.0,53.0,13000.0,8400.0,16000.0,0.27,0.21,0.33,82.0,65.0,100.0,Indirect,189.0,167.0,212.0,58000.0,51000.0,65000.0,High income,0.34,0.29,0.4,0.64,0.57,0.72,200.0,170.0,220.0,53.0,47.0,60.0
Albania,ALB,8,EUR,1990,3446882,36.0,17.0,62.0,1200.0,570.0,2100.0,predicted,1.8,1.4,2.3,63.0,49.0,80.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR imputed,24.0,18.0,32.0,840.0,600.0,1100.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,78.0,59.0,110.0
Albania,ALB,8,EUR,1991,3459763,35.0,16.0,61.0,1200.0,550.0,2100.0,predicted,1.7,1.3,2.1,58.0,45.0,74.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR imputed,24.0,18.0,32.0,840.0,610.0,1100.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,74.0,57.0,100.0
Albania,ALB,8,EUR,1992,3446858,34.0,15.0,60.0,1200.0,520.0,2100.0,predicted,1.1,0.75,1.5,37.0,26.0,51.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR,24.0,17.0,33.0,840.0,580.0,1100.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,68.21785056733034,61.959409120102755,75.85449154356668
Albania,ALB,8,EUR,1993,3417280,33.0,15.0,59.0,1100.0,500.0,2000.0,predicted,1.5,1.1,1.9,51.0,38.0,66.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR,24.0,18.0,32.0,830.0,610.0,1100.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,68.21785056733034,61.959409120102755,75.85449154356668
Albania,ALB,8,EUR,1994,3384367,33.0,14.0,59.0,1100.0,480.0,2000.0,predicted,1.8,1.3,2.3,61.0,44.0,79.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR,24.0,21.0,28.0,830.0,700.0,960.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,86.0,73.0,100.0
Albania,ALB,8,EUR,1995,3357858,32.0,14.0,58.0,1100.0,460.0,2000.0,predicted,0.68,0.55,0.83,23.0,18.0,28.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR,24.0,20.0,29.0,820.0,680.0,970.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,78.0,66.0,94.0
Albania,ALB,8,EUR,1996,3341043,32.0,14.0,58.0,1100.0,460.0,1900.0,predicted,1.5,1.2,1.8,49.0,39.0,59.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR,24.0,22.0,27.0,810.0,730.0,910.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,91.0,81.0,100.0
Albania,ALB,8,EUR,1997,3331317,32.0,14.0,58.0,1100.0,460.0,1900.0,predicted,0.84,0.66,1.1,28.0,22.0,35.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR,24.0,21.0,28.0,810.0,690.0,950.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,81.0,69.0,95.0
Albania,ALB,8,EUR,1998,3325456,36.0,16.0,64.0,1200.0,550.0,2100.0,predicted,0.94,0.73,1.2,31.0,24.0,39.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR,26.0,22.0,30.0,860.0,730.0,1000.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,80.0,69.0,95.0
Albania,ALB,8,EUR,1999,3317941,41.0,19.0,70.0,1400.0,640.0,2300.0,predicted,0.79,0.59,1.0,26.0,20.0,34.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR,27.0,23.0,32.0,910.0,770.0,1100.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,80.0,69.0,95.0
Albania,ALB,8,EUR,2000,3304948,30.0,13.0,54.0,980.0,410.0,1800.0,predicted,0.82,0.57,1.1,27.0,19.0,37.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR,23.0,19.0,26.0,750.0,630.0,870.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,81.0,69.0,95.0
Albania,ALB,8,EUR,2001,3286084,26.0,10.0,49.0,860.0,340.0,1600.0,predicted,0.68,0.5,0.89,22.0,16.0,29.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR,21.0,18.0,24.0,690.0,580.0,800.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,81.0,69.0,95.0
Albania,ALB,8,EUR,2002,3263596,31.0,14.0,55.0,1000.0,460.0,1800.0,predicted,0.71,0.5,0.94,23.0,16.0,31.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR,23.0,19.0,26.0,740.0,620.0,860.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,81.0,69.0,95.0
Albania,ALB,8,EUR,2003,3239385,29.0,13.0,52.0,950.0,430.0,1700.0,predicted,0.61,0.43,0.82,20.0,14.0,27.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR,21.0,18.0,25.0,690.0,580.0,800.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,81.0,69.0,95.0
Albania,ALB,8,EUR,2004,3216197,30.0,14.0,52.0,960.0,440.0,1700.0,predicted,0.63,0.44,0.85,20.0,14.0,27.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR,21.0,18.0,25.0,680.0,570.0,790.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,81.0,69.0,95.0
Albania,ALB,8,EUR,2005,3196130,27.0,12.0,48.0,870.0,390.0,1500.0,predicted,0.64,0.45,0.86,21.0,14.0,28.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR imputed,20.0,17.0,23.0,630.0,530.0,730.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,81.0,69.0,95.0
Albania,ALB,8,EUR,2006,3179573,25.0,11.0,44.0,780.0,340.0,1400.0,predicted,0.64,0.45,0.86,20.0,14.0,28.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR imputed,18.0,15.0,21.0,580.0,490.0,680.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,81.0,69.0,95.0
Albania,ALB,8,EUR,2007,3166222,23.0,9.6,41.0,710.0,300.0,1300.0,predicted,0.64,0.45,0.86,20.0,14.0,27.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR imputed,17.0,15.0,20.0,540.0,460.0,630.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,81.0,69.0,95.0
Albania,ALB,8,EUR,2008,3156608,22.0,9.5,40.0,700.0,300.0,1300.0,predicted,0.64,0.45,0.86,20.0,14.0,27.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR imputed,17.0,14.0,20.0,530.0,450.0,620.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,81.0,69.0,95.0
Albania,ALB,8,EUR,2009,3151185,24.0,11.0,43.0,770.0,350.0,1400.0,predicted,0.64,0.45,0.86,20.0,14.0,27.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR imputed,17.0,15.0,20.0,550.0,470.0,640.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,81.0,69.0,95.0
Albania,ALB,8,EUR,2010,3150143,23.0,10.0,41.0,730.0,320.0,1300.0,predicted,0.64,0.45,0.86,20.0,14.0,27.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR imputed,17.0,14.0,20.0,530.0,450.0,620.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,81.0,69.0,95.0
Albania,ALB,8,EUR,2011,3153883,22.0,9.7,40.0,700.0,310.0,1300.0,predicted,0.64,0.45,0.86,20.0,14.0,27.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR imputed,17.0,14.0,19.0,520.0,440.0,610.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,81.0,69.0,95.0
Albania,ALB,8,EUR,2012,3162083,21.0,8.6,38.0,650.0,270.0,1200.0,predicted,0.64,0.45,0.86,20.0,14.0,27.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR imputed,16.0,14.0,19.0,510.0,430.0,590.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,81.0,69.0,95.0
Albania,ALB,8,EUR,2013,3173271,27.0,12.0,47.0,850.0,390.0,1500.0,predicted,0.64,0.45,0.86,20.0,14.0,27.0,0.0,14.224247954688485,24.824955947136562,0.0,2157.7013436123348,3812.193045940843,VR imputed,18.0,16.0,22.0,590.0,500.0,680.0,High income,11.179119341563785,9.150985722130697,13.379266886326192,40.228274348422495,33.892320153761666,47.32637836353652,6095.426979423868,5215.147572762217,7363.644445359692,81.0,69.0,95.0
Algeria,DZA,12,AFR,1990,26239708,100.0,51.0,166.0,26000.0,13000.0,44000.0,predicted,11.0,5.9,15.0,2800.0,1500.0,4100.0,0.01,0.0,0.07,3.0,0.0,18.0,Indirect,64.0,53.0,77.0,17000.0,14000.0,20000.0,High income,0.06,0.0,0.28,0.04,0.03,0.23,11.0,9.0,61.0,69.0,58.0,83.0
Algeria,DZA,12,AFR,1991,26893663,99.0,51.0,164.0,27000.0,14000.0,44000.0,predicted,10.0,6.3,15.0,2700.0,1700.0,4000.0,0.01,0.0,0.08,4.0,0.0,21.0,Indirect,64.0,57.0,75.0,17000.0,15000.0,20000.0,High income,0.08,0.0,0.33,0.05,0.04,0.27,13.0,12.0,73.0,66.0,57.0,74.0
Algeria,DZA,12,AFR,1992,27535151,100.0,51.0,165.0,27000.0,14000.0,45000.0,predicted,10.0,6.5,14.0,2800.0,1800.0,3900.0,0.02,0.0,0.09,5.0,0.01,24.0,Indirect,65.0,58.0,74.0,18000.0,16000.0,20000.0,High income,0.09,0.0,0.38,0.06,0.05,0.32,16.0,15.0,89.0,64.0,56.0,71.0
Algeria,DZA,12,AFR,1993,28157560,102.0,52.0,170.0,29000.0,15000.0,48000.0,predicted,10.0,6.6,14.0,2900.0,1900.0,4000.0,0.02,0.0,0.11,6.0,0.0,32.0,Indirect,67.0,60.0,76.0,19000.0,17000.0,21000.0,High income,0.1,0.0,0.44,0.07,0.07,0.39,19.0,18.0,110.0,71.0,63.0,80.0
Algeria,DZA,12,AFR,1994,28752749,106.0,54.0,176.0,31000.0,16000.0,51000.0,predicted,11.0,6.6,16.0,3100.0,1900.0,4500.0,0.02,0.0,0.14,7.0,0.0,40.0,Indirect,69.0,61.0,79.0,20000.0,17000.0,23000.0,High income,0.12,0.0,0.55,0.08,0.08,0.5,24.0,23.0,140.0,67.0,58.0,77.0
Algeria,DZA,12,AFR,1995,29315463,110.0,56.0,182.0,32000.0,16000.0,53000.0,predicted,11.0,7.1,16.0,3300.0,2100.0,4800.0,0.03,0.0,0.17,9.0,0.0,49.0,Indirect,71.0,63.0,83.0,21000.0,18000.0,24000.0,High income,0.14,0.0,0.65,0.1,0.09,0.6,29.0,27.0,180.0,65.0,56.0,74.0
Algeria,DZA,12,AFR,1996,29845208,114.0,59.0,189.0,34000.0,17000.0,56000.0,predicted,12.0,8.0,16.0,3500.0,2400.0,4800.0,0.04,0.0,0.19,11.0,0.01,58.0,Indirect,74.0,65.0,85.0,22000.0,19000.0,25000.0,High income,0.16,0.0,0.75,0.12,0.11,0.72,34.0,33.0,210.0,70.0,60.0,80.0
Algeria,DZA,12,AFR,1997,30345466,119.0,61.0,195.0,36000.0,18000.0,59000.0,predicted,12.0,8.2,16.0,3700.0,2500.0,4700.0,0.04,0.0,0.22,13.0,0.01,66.0,Indirect,76.0,67.0,85.0,23000.0,20000.0,26000.0,High income,0.18,0.0,0.82,0.13,0.13,0.82,40.0,38.0,250.0,71.0,64.0,81.0
Algeria,DZA,12,AFR,1998,30820435,122.0,62.0,201.0,38000.0,19000.0,62000.0,predicted,13.0,8.1,17.0,3900.0,2500.0,5200.0,0.05,0.0,0.26,15.0,0.0,81.0,Indirect,79.0,69.0,86.0,24000.0,21000.0,27000.0,High income,0.19,0.0,0.89,0.15,0.15,0.93,46.0,45.0,290.0,63.0,58.0,72.0
Algeria,DZA,12,AFR,1999,31276295,126.0,64.0,207.0,39000.0,20000.0,65000.0,predicted,13.0,8.2,18.0,4100.0,2600.0,5500.0,0.05,0.0,0.32,17.0,0.0,100.0,Indirect,81.0,71.0,90.0,25000.0,22000.0,28000.0,High income,0.21,0.0,1.1,0.17,0.16,1.1,53.0,51.0,350.0,66.0,59.0,75.0
Algeria,DZA,12,AFR,2000,31719449,129.0,66.0,213.0,41000.0,21000.0,67000.0,predicted,13.0,8.4,18.0,4200.0,2700.0,5800.0,0.06,0.0,0.37,19.0,0.0,120.0,Indirect,83.0,72.0,91.0,26000.0,23000.0,29000.0,High income,0.22,0.0,1.1,0.19,0.18,1.2,59.0,56.0,390.0,70.0,64.0,81.0
Algeria,DZA,12,AFR,2001,32150198,132.0,67.0,217.0,42000.0,22000.0,70000.0,predicted,14.0,8.3,18.0,4300.0,2700.0,5900.0,0.06,0.0,0.41,20.0,0.0,130.0,Indirect,85.0,74.0,92.0,27000.0,24000.0,30000.0,High income,0.24,0.0,1.2,0.2,0.19,1.4,65.0,61.0,440.0,67.0,62.0,76.0
Algeria,DZA,12,AFR,2002,32572977,134.0,69.0,221.0,44000.0,22000.0,72000.0,predicted,14.0,8.4,18.0,4500.0,2700.0,5900.0,0.07,0.0,0.43,22.0,0.0,140.0,Indirect,87.0,78.0,93.0,28000.0,25000.0,30000.0,High income,0.25,0.0,1.3,0.22,0.2,1.5,71.0,66.0,480.0,67.0,62.0,75.0
Algeria,DZA,12,AFR,2003,33003442,136.0,70.0,224.0,45000.0,23000.0,74000.0,predicted,14.0,8.2,18.0,4600.0,2700.0,6000.0,0.07,0.0,0.46,24.0,0.0,150.0,Indirect,88.0,80.0,97.0,29000.0,26000.0,32000.0,High income,0.27,0.0,1.4,0.23,0.22,1.6,77.0,71.0,540.0,68.0,62.0,75.0
Algeria,DZA,12,AFR,2004,33461345,138.0,71.0,227.0,46000.0,24000.0,76000.0,predicted,14.0,7.9,18.0,4700.0,2700.0,6100.0,0.08,0.0,0.5,26.0,0.0,170.0,Indirect,89.0,81.0,100.0,30000.0,27000.0,34000.0,High income,0.28,0.0,1.6,0.25,0.23,1.8,82.0,76.0,610.0,67.0,59.0,74.0
